Идентификатор,Код начального транзитного пункта,Код конечного транзитного пункта,"Транзитное расстояние от начального транзитного пункта до конечного транзитного пункта, (км)",Время обновления,Тип коррекции,Дата начала действия
1142,707701,662002,3303,21.09.2017 11:05,I,21.12.2012
1143,707701,700007,336,21.09.2017 11:05,I,21.12.2012
1144,688708,700007,1809,23.07.2014 09:40,I,01.11.2012
1145,688708,694605,797,24.07.2019 14:07,I,19.07.2019
1146,682203,694605,1179,24.07.2019 14:07,I,19.07.2019
1147,682203,700007,2191,23.07.2014 09:40,I,01.11.2012
1148,696102,700007,1394,06.05.2021 09:51,U,06.05.2021
1149,690002,700007,1318,23.07.2014 09:40,I,01.11.2012
1150,690002,694605,306,24.07.2019 14:07,I,19.07.2019
1151,697509,700007,1511,06.05.2021 09:48,U,06.05.2021
1152,661601,700007,2675,23.07.2014 09:40,I,01.11.2012
1153,661601,662002,292,23.07.2014 09:40,I,01.11.2012
1154,666501,669904,562,25.07.2019 13:48,I,25.07.2019
1155,666501,694605,1912,24.07.2019 14:07,I,19.07.2019
1156,666501,700007,2447,23.07.2014 09:40,I,01.11.2012
1157,679107,694605,1075,24.07.2019 14:07,I,19.07.2019
1158,679107,700007,2087,23.07.2014 09:40,I,01.11.2012
1159,710600,662002,2178,21.08.2017 13:49,I,15.08.2017
1160,710600,700007,861,21.08.2017 13:49,I,15.08.2017
1161,660007,694605,1623,24.07.2019 14:07,I,19.07.2019
1162,660007,669904,273,25.07.2019 13:48,I,25.07.2019
1163,660007,700007,2158,23.07.2014 09:40,I,01.11.2012
1164,660007,662002,802,06.05.2021 09:28,U,06.05.2021
1165,673905,694605,523,24.07.2019 14:07,I,19.07.2019
1166,673905,700007,1077,23.07.2014 09:40,I,01.11.2012
1167,664900,669904,943,25.07.2019 13:48,I,25.07.2019
1168,664900,700007,2828,23.07.2014 09:40,I,01.11.2012
1169,664900,694605,2293,24.07.2019 14:07,I,19.07.2019
1170,693405,694605,167,24.07.2019 14:13,I,19.07.2019
1171,693405,700007,1433,24.07.2019 14:13,I,19.07.2019
1172,673007,694605,500,25.07.2019 09:12,I,25.07.2019
1173,673007,700007,1100,25.07.2019 09:12,I,25.07.2019
1174,661103,669904,665,25.07.2019 13:48,I,25.07.2019
1175,661103,700007,2550,23.07.2014 09:40,I,01.11.2012
1176,661103,662002,410,06.05.2021 09:28,U,06.05.2021
1177,661103,694605,2015,24.07.2019 14:07,I,19.07.2019
1178,687008,694605,602,24.07.2019 14:07,I,19.07.2019
1179,687008,700007,1614,23.07.2014 09:40,I,01.11.2012
1180,687207,700007,1626,23.07.2014 09:40,I,01.11.2012
1181,677309,700007,741,23.07.2014 09:40,I,01.11.2012
1182,677309,694605,859,24.07.2019 14:07,I,19.07.2019
1183,680000,694605,682,24.07.2019 14:25,I,19.07.2019
1184,680000,700007,1694,24.07.2019 14:25,I,19.07.2019
1185,698606,700007,746,25.07.2019 14:02,I,25.07.2019
1186,663306,694605,2678,25.07.2019 09:29,I,25.07.2019
1187,663306,700007,2788,25.07.2019 09:29,I,25.07.2019
1188,663306,669904,903,25.07.2019 13:48,I,25.07.2019
1189,690200,694605,294,24.07.2019 14:07,I,19.07.2019
1190,690200,700007,1306,23.07.2014 09:40,I,01.11.2012
1191,670102,698606,974,25.07.2019 14:02,I,25.07.2019
1192,670102,706304,1177,25.07.2019 13:37,I,25.07.2019
1193,670102,704101,1026,25.07.2019 13:02,I,25.07.2019
1194,670102,687008,1598,25.07.2019 13:02,I,25.07.2019
1195,685803,698606,2112,25.07.2019 14:02,I,25.07.2019
1196,685803,706304,1909,25.07.2019 13:37,I,25.07.2019
1197,685803,708403,2064,23.07.2014 09:40,I,01.11.2012
1198,685803,704101,2322,23.07.2014 09:40,I,01.11.2012
1199,685803,687207,370,23.07.2014 09:40,I,01.11.2012
1200,685803,687008,358,23.07.2014 09:40,I,01.11.2012
1201,662002,698606,2214,06.05.2021 09:28,U,06.05.2021
1202,662002,706304,2417,06.05.2021 09:28,U,06.05.2021
1203,662002,708403,3536,23.07.2014 09:40,I,01.11.2012
1204,662002,687207,1981,23.07.2014 09:40,I,01.11.2012
1205,662002,687008,1962,06.05.2021 09:28,U,06.05.2021
1206,662002,704101,2266,06.05.2021 09:28,U,06.05.2021
1207,662905,698606,1717,25.07.2019 14:02,I,25.07.2019
1208,662905,706304,1920,25.07.2019 13:37,I,25.07.2019
1209,662905,708403,3498,23.07.2014 09:40,I,01.11.2012
1210,662905,687207,1943,23.07.2014 09:40,I,01.11.2012
1211,662905,687008,1931,23.07.2014 09:40,I,01.11.2012
1212,662905,704101,1769,14.08.2019 13:34,U,25.07.2019
1213,704703,706304,240,25.07.2019 13:37,I,25.07.2019
1214,704703,708403,1169,23.07.2014 09:40,I,01.11.2012
1215,662801,698606,1638,25.07.2019 14:02,I,25.07.2019
1216,662801,706304,1841,25.07.2019 13:37,I,25.07.2019
1217,662801,704101,1690,19.07.2019 09:44,I,19.07.2019
1218,662801,687008,1852,19.07.2019 09:44,I,19.07.2019
1219,691607,698606,2115,15.11.2023 07:11,U,15.11.2023
1220,691607,706304,2318,15.11.2023 07:07,U,15.11.2023
1221,691607,687207,2347,02.06.2017 15:35,I,01.06.2017
1222,691607,704101,2167,15.11.2023 07:05,U,15.11.2023
1223,691607,687008,2329,15.11.2023 06:56,U,15.11.2023
1224,691607,708403,3162,02.08.2017 10:38,U,01.08.2017
1225,676700,698606,1350,25.07.2019 14:02,I,25.07.2019
1226,676700,706304,1147,25.07.2019 13:37,I,25.07.2019
1227,676700,704101,1560,25.07.2019 09:21,I,25.07.2019
1228,676700,687008,912,25.07.2019 09:21,I,25.07.2019
1229,664703,698606,2368,25.07.2019 14:02,I,25.07.2019
1230,664703,706304,2571,25.07.2019 13:37,I,25.07.2019
1231,664703,687207,2594,23.07.2014 09:40,I,05.06.2013
1232,664703,704101,2420,14.08.2019 12:48,U,25.07.2019
1233,664703,687008,2582,23.07.2014 09:40,I,05.06.2013
1234,664703,708403,4149,23.07.2014 09:40,I,05.06.2013
1235,668600,698606,1547,25.07.2019 14:02,I,25.07.2019
1236,668600,706304,1750,25.07.2019 13:37,I,25.07.2019
1237,668600,704101,1599,25.07.2019 09:35,I,25.07.2019
1238,668600,687008,1025,25.07.2019 09:35,I,25.07.2019
1239,669904,698606,1139,25.07.2019 14:02,I,25.07.2019
1240,669904,706304,1342,25.07.2019 13:48,I,25.07.2019
1241,669904,704101,1191,25.07.2019 13:48,I,25.07.2019
1242,669904,687008,1433,25.07.2019 13:48,I,25.07.2019
1243,694605,698606,1740,25.07.2019 14:02,I,25.07.2019
1244,694605,706304,1537,25.07.2019 13:37,I,25.07.2019
1245,694605,704101,1950,24.07.2019 14:07,I,19.07.2019
1246,675905,698606,1096,25.07.2019 14:02,I,25.07.2019
1247,675905,706304,893,25.07.2019 13:37,I,25.07.2019
1248,675905,704101,1306,24.07.2019 14:57,I,19.07.2019
1249,675905,687008,658,24.07.2019 14:57,I,19.07.2019
1250,683102,698606,2065,25.07.2019 14:02,I,25.07.2019
1251,683102,706304,1919,25.07.2019 13:43,I,25.07.2019
1252,683102,704101,2117,25.07.2019 13:43,I,25.07.2019
1253,683102,687008,507,25.07.2019 13:43,I,25.07.2019
1254,698004,698606,79,25.07.2019 14:02,I,25.07.2019
1255,698004,706304,282,25.07.2019 13:37,I,25.07.2019
1256,698004,708403,1691,23.07.2014 09:40,I,01.11.2012
1257,698004,704101,131,23.07.2014 09:40,I,01.11.2012
1258,663503,698606,2046,25.07.2019 14:02,I,25.07.2019
1259,663503,706304,2249,25.07.2019 13:37,I,25.07.2019
1260,663503,708403,3827,23.07.2014 09:40,I,01.11.2012
1261,663503,687207,2272,23.07.2014 09:40,I,01.11.2012
1262,663503,687008,2260,23.07.2014 09:40,I,01.11.2012
1263,663503,704101,2098,14.08.2019 12:22,U,25.07.2019
1264,684001,698606,2161,25.07.2019 14:02,I,25.07.2019
1265,684001,706304,1962,25.07.2019 13:37,I,25.07.2019
1266,684001,708403,2117,23.07.2014 09:40,I,01.11.2012
1267,684001,687207,423,23.07.2014 09:40,I,01.11.2012
1268,684001,687008,411,23.07.2014 09:40,I,01.11.2012
1269,684001,704101,2213,23.07.2014 09:40,I,01.11.2012
1270,685707,698606,1942,25.07.2019 14:02,I,25.07.2019
1271,685707,706304,1739,25.07.2019 13:37,I,25.07.2019
1272,685707,708403,1894,23.07.2014 09:40,I,01.11.2012
1273,685707,704101,2152,23.07.2014 09:40,I,01.11.2012
1274,685707,687207,200,23.07.2014 09:40,I,01.11.2012
1275,685707,687008,188,23.07.2014 09:40,I,01.11.2012
1276,707701,687207,1962,21.09.2017 11:05,I,21.12.2012
1277,707701,704101,1292,21.09.2017 11:05,I,21.12.2012
1278,707701,687008,1950,21.09.2017 11:05,I,21.12.2012
1279,707701,708403,1116,21.09.2017 11:05,I,21.12.2012
1280,708009,708403,310,18.08.2017 17:43,U,15.08.2017
1281,678405,698606,1625,25.07.2019 14:02,I,25.07.2019
1282,678405,706304,1828,25.07.2019 13:37,I,25.07.2019
1283,678405,708403,2670,23.07.2014 09:40,I,01.11.2012
1284,678405,704101,1677,23.07.2014 09:40,I,01.11.2012
1285,678405,687207,1115,23.07.2014 09:40,I,01.11.2012
1286,678405,687008,1103,23.07.2014 09:40,I,01.11.2012
1287,666501,698606,1701,25.07.2019 14:02,I,25.07.2019
1288,666501,706304,1904,25.07.2019 13:37,I,25.07.2019
1289,666501,708403,3016,23.07.2014 09:40,I,01.11.2012
1290,666501,704101,1753,23.07.2014 09:40,I,01.11.2012
1291,666501,687207,1461,23.07.2014 09:40,I,01.11.2012
1292,666501,687008,1449,23.07.2014 09:40,I,01.11.2012
1293,704402,706304,117,25.07.2019 13:37,I,25.07.2019
1294,704402,708403,1292,23.07.2014 09:40,I,01.11.2012
1295,688708,698606,1949,25.07.2019 14:02,I,25.07.2019
1296,688708,706304,1746,25.07.2019 13:37,I,25.07.2019
1297,688708,708403,1901,23.07.2014 09:40,I,01.11.2012
1298,688708,704101,2159,23.07.2014 09:40,I,01.11.2012
1299,682203,698606,2327,25.07.2019 14:02,I,25.07.2019
1300,682203,706304,2128,25.07.2019 13:37,I,25.07.2019
1301,682203,708403,2283,23.07.2014 09:40,I,01.11.2012
1302,682203,687207,589,23.07.2014 09:40,I,01.11.2012
1303,682203,687008,577,23.07.2014 09:40,I,01.11.2012
1304,682203,704101,2379,23.07.2014 09:40,I,01.11.2012
1305,696102,698606,1872,25.07.2019 14:02,I,25.07.2019
1306,696102,706304,1669,25.07.2019 13:37,I,25.07.2019
1307,696102,708403,1152,23.07.2014 09:40,I,01.11.2012
1308,696102,704101,2082,23.07.2014 09:40,I,01.11.2012
1309,690002,698606,1458,25.07.2019 14:02,I,25.07.2019
1310,690002,706304,1255,25.07.2019 13:37,I,25.07.2019
1311,690002,708403,1410,23.07.2014 09:40,I,01.11.2012
1312,690002,704101,1668,23.07.2014 09:40,I,01.11.2012
1313,697509,698606,1989,25.07.2019 14:02,I,25.07.2019
1314,697509,706304,1786,25.07.2019 13:37,I,25.07.2019
1315,697509,708403,1269,23.07.2014 09:40,I,01.11.2012
1316,697509,704101,2199,23.07.2014 09:40,I,01.11.2012
1317,664900,698606,2082,25.07.2019 14:02,I,25.07.2019
1318,664900,706304,2285,25.07.2019 13:37,I,25.07.2019
1319,664900,708403,3397,23.07.2014 09:40,I,01.11.2012
1320,664900,704101,2134,23.07.2014 09:40,I,01.11.2012
1321,664900,687207,1842,23.07.2014 09:40,I,01.11.2012
1322,664900,687008,1830,23.07.2014 09:40,I,01.11.2012
1323,693405,698606,1573,25.07.2019 14:02,I,25.07.2019
1324,693405,706304,1370,25.07.2019 13:37,I,25.07.2019
1325,693405,704101,1783,24.07.2019 14:13,I,19.07.2019
1326,700505,704101,999,14.08.2019 08:52,I,26.07.2019
1327,700505,706304,586,25.07.2019 13:37,I,25.07.2019
1328,661601,708403,3244,23.07.2014 09:40,I,01.11.2012
1329,661601,687207,1689,23.07.2014 09:40,I,01.11.2012
1330,661601,687008,1677,23.07.2014 09:40,I,01.11.2012
1331,661601,704101,1981,23.07.2014 09:40,I,01.11.2012
1332,660007,698606,1412,25.07.2019 14:02,I,25.07.2019
1333,660007,706304,1615,25.07.2019 13:37,I,25.07.2019
1334,660007,708403,2727,23.07.2014 09:40,I,01.11.2012
1335,660007,704101,1464,23.07.2014 09:40,I,01.11.2012
1336,660007,687207,1172,23.07.2014 09:40,I,01.11.2012
1337,660007,687008,1160,23.07.2014 09:40,I,01.11.2012
1338,673905,698606,1217,25.07.2019 14:02,I,25.07.2019
1339,673905,706304,1014,25.07.2019 13:37,I,25.07.2019
1340,673905,708403,1169,23.07.2014 09:40,I,01.11.2012
1341,673905,704101,1427,23.07.2014 09:40,I,01.11.2012
1342,673905,687207,549,23.07.2014 09:40,I,01.11.2012
1343,673905,687008,537,23.07.2014 09:40,I,01.11.2012
1344,661103,698606,1804,25.07.2019 14:02,I,25.07.2019
1345,661103,706304,2007,25.07.2019 13:37,I,25.07.2019
1346,661103,708403,3119,23.07.2014 09:40,I,01.11.2012
1347,661103,687207,1564,23.07.2014 09:40,I,01.11.2012
1348,661103,687008,1552,23.07.2014 09:40,I,01.11.2012
1349,661103,704101,1856,23.07.2014 09:40,I,01.11.2012
1350,687008,698606,1754,25.07.2019 14:02,I,25.07.2019
1351,687008,706304,1551,25.07.2019 13:37,I,25.07.2019
1352,687008,708403,1706,23.07.2014 09:40,I,01.11.2012
1353,687008,687207,12,23.07.2014 09:40,I,01.11.2012
1354,687008,704101,1964,23.07.2014 09:40,I,01.11.2012
1355,687207,708403,1718,23.07.2014 09:40,I,01.11.2012
1356,687207,704101,1976,23.07.2014 09:40,I,01.11.2012
1357,677309,698606,881,25.07.2019 14:02,I,25.07.2019
1358,677309,706304,678,25.07.2019 13:37,I,25.07.2019
1359,677309,708403,833,23.07.2014 09:40,I,01.11.2012
1360,677309,704101,1091,23.07.2014 09:40,I,01.11.2012
1361,677309,687207,885,23.07.2014 09:40,I,01.11.2012
1362,677309,687008,873,23.07.2014 09:40,I,01.11.2012
1363,680000,698606,1834,25.07.2019 14:02,I,25.07.2019
1364,680000,706304,1631,25.07.2019 13:37,I,25.07.2019
1365,680000,704101,2044,24.07.2019 14:25,I,19.07.2019
1366,680000,687008,672,24.07.2019 14:25,I,19.07.2019
1367,698606,706304,203,25.07.2019 14:02,I,25.07.2019
1368,698606,704101,210,25.07.2019 14:02,I,25.07.2019
1369,663306,698606,2042,25.07.2019 14:02,I,25.07.2019
1370,663306,706304,2245,25.07.2019 13:37,I,25.07.2019
1371,663306,704101,2094,25.07.2019 09:29,I,25.07.2019
1372,663306,687008,2256,25.07.2019 09:29,I,25.07.2019
1373,679107,698606,2170,25.07.2019 14:02,I,25.07.2019
1374,679107,706304,2024,25.07.2019 13:37,I,25.07.2019
1375,679107,708403,2179,23.07.2014 09:40,I,01.11.2012
1376,679107,704101,2222,23.07.2014 09:40,I,01.11.2012
1377,679107,687207,624,23.07.2014 09:40,I,01.11.2012
1378,679107,687008,612,23.07.2014 09:40,I,01.11.2012
1379,710600,687207,1881,21.08.2017 13:49,I,15.08.2017
1380,710600,704101,95,21.08.2017 13:49,I,15.08.2017
1381,710600,687008,1869,21.08.2017 13:49,I,15.08.2017
1382,710600,708403,1727,21.08.2017 13:49,I,15.08.2017
1383,700007,706304,543,25.07.2019 13:37,I,25.07.2019
1384,700007,708403,866,23.07.2014 09:40,I,01.11.2012
1385,700007,704101,956,23.07.2014 09:40,I,01.11.2012
1386,690200,698606,1446,25.07.2019 14:02,I,25.07.2019
1387,690200,706304,1243,25.07.2019 13:37,I,25.07.2019
1388,690200,708403,1398,23.07.2014 09:40,I,01.11.2012
1389,690200,704101,1656,23.07.2014 09:40,I,01.11.2012
1390,673007,698606,1240,25.07.2019 14:02,I,25.07.2019
1391,673007,706304,1037,25.07.2019 13:37,I,25.07.2019
1392,673007,704101,1450,25.07.2019 09:12,I,25.07.2019
1393,673007,687008,514,25.07.2019 09:12,I,25.07.2019
1394,704101,706304,413,25.07.2019 13:37,I,25.07.2019
1395,704101,708403,1822,23.07.2014 09:40,I,01.11.2012
1396,670102,696102,1742,25.07.2019 13:02,I,25.07.2019
1397,670102,676700,712,25.07.2019 13:02,I,25.07.2019
1398,670102,700505,1763,25.07.2019 13:02,I,25.07.2019
1399,685803,700505,2015,14.08.2019 08:52,I,26.07.2019
1400,685803,696102,1092,23.07.2014 09:40,I,01.11.2012
1401,662801,700505,2427,14.08.2019 08:52,I,26.07.2019
1402,662801,676700,1376,25.07.2019 09:21,I,25.07.2019
1403,662801,696102,2406,19.07.2019 09:44,I,19.07.2019
1404,691607,700505,2904,15.11.2023 06:53,U,15.11.2023
1405,691607,696102,2883,15.11.2023 07:04,U,15.11.2023
1406,662002,700505,3003,06.05.2021 09:28,U,06.05.2021
1407,662002,676700,1952,06.05.2021 09:28,U,06.05.2021
1408,662002,662801,710,06.05.2021 09:28,U,06.05.2021
1409,662002,696102,2557,06.05.2021 09:28,U,06.05.2021
1410,662905,700505,2506,14.08.2019 08:52,I,26.07.2019
1411,662905,676700,1455,25.07.2019 09:21,I,25.07.2019
1412,662905,696102,2485,14.08.2019 13:33,U,25.07.2019
1413,664703,700505,3157,14.08.2019 08:52,I,26.07.2019
1414,664703,676700,2106,25.07.2019 09:21,I,25.07.2019
1415,664703,696102,3136,14.08.2019 12:47,U,25.07.2019
1416,676700,696102,1030,25.07.2019 09:21,I,25.07.2019
1417,676700,700505,1253,25.07.2019 09:21,I,25.07.2019
1418,668600,696102,1620,25.07.2019 09:35,I,25.07.2019
1419,668600,676700,1285,25.07.2019 09:35,I,25.07.2019
1420,668600,700505,2336,25.07.2019 09:35,I,25.07.2019
1421,669904,696102,1907,25.07.2019 13:48,I,25.07.2019
1422,669904,676700,877,25.07.2019 13:48,I,25.07.2019
1423,669904,700505,1928,30.07.2019 07:37,U,25.07.2019
1424,694605,700505,1435,14.08.2019 08:52,I,26.07.2019
1425,694605,696102,132,24.07.2019 14:07,I,19.07.2019
1426,663503,700505,2835,14.08.2019 08:52,I,26.07.2019
1427,663503,676700,1784,25.07.2019 09:21,I,25.07.2019
1428,663503,696102,2814,14.08.2019 12:21,U,25.07.2019
1429,684001,700505,2068,14.08.2019 08:52,I,26.07.2019
1430,684001,696102,1145,23.07.2014 09:40,I,01.11.2012
1431,685707,700505,1845,14.08.2019 08:52,I,26.07.2019
1432,685707,696102,922,23.07.2014 09:40,I,01.11.2012
1433,707701,696102,1650,21.09.2017 11:05,I,21.12.2012
1434,678405,700505,2414,14.08.2019 08:52,I,26.07.2019
1435,678405,696102,1698,23.07.2014 09:40,I,01.11.2012
1436,675905,700505,999,14.08.2019 08:52,I,26.07.2019
1437,675905,676700,254,25.07.2019 09:21,I,25.07.2019
1438,675905,696102,776,24.07.2019 14:57,I,19.07.2019
1439,683102,696102,1102,25.07.2019 13:43,I,25.07.2019
1440,683102,700505,2025,25.07.2019 13:43,I,25.07.2019
1441,698004,700505,868,14.08.2019 08:52,I,26.07.2019
1442,688708,700505,1852,14.08.2019 08:52,I,26.07.2019
1443,688708,696102,929,23.07.2014 09:40,I,01.11.2012
1444,682203,700505,2234,14.08.2019 08:52,I,26.07.2019
1445,682203,696102,1311,23.07.2014 09:40,I,01.11.2012
1446,696102,700505,1351,06.05.2021 09:51,U,06.05.2021
1447,690002,700505,1361,14.08.2019 08:52,I,26.07.2019
1448,690002,696102,438,23.07.2014 09:40,I,01.11.2012
1449,697509,700505,1468,06.05.2021 09:48,U,06.05.2021
1450,666501,700505,2490,14.08.2019 08:52,I,26.07.2019
1451,666501,676700,1439,25.07.2019 09:21,I,25.07.2019
1452,666501,696102,2044,23.07.2014 09:40,I,01.11.2012
1453,661601,696102,2272,23.07.2014 09:40,I,01.11.2012
1454,664900,700505,2871,14.08.2019 08:52,I,26.07.2019
1455,664900,676700,1820,25.07.2019 09:21,I,25.07.2019
1456,664900,696102,2425,23.07.2014 09:40,I,01.11.2012
1457,693405,700505,1476,14.08.2019 08:52,I,26.07.2019
1458,693405,696102,299,24.07.2019 14:13,I,19.07.2019
1459,679107,700505,2130,14.08.2019 08:52,I,26.07.2019
1460,679107,696102,1207,23.07.2014 09:40,I,01.11.2012
1461,710600,696102,1987,21.08.2017 13:49,I,15.08.2017
1462,660007,700505,2201,14.08.2019 08:52,I,26.07.2019
1463,660007,676700,1150,25.07.2019 09:21,I,25.07.2019
1464,660007,696102,1755,23.07.2014 09:40,I,01.11.2012
1465,673905,700505,1120,14.08.2019 08:52,I,26.07.2019
1466,673905,676700,375,25.07.2019 09:21,I,25.07.2019
1467,673905,696102,655,23.07.2014 09:40,I,01.11.2012
1468,660007,662801,692,19.07.2019 09:44,I,19.07.2019
1469,661103,700505,2593,14.08.2019 08:52,I,26.07.2019
1470,661103,676700,1542,25.07.2019 09:21,I,25.07.2019
1471,661103,662801,300,19.07.2019 09:44,I,19.07.2019
1472,661103,696102,2147,23.07.2014 09:40,I,01.11.2012
1473,687008,700505,1657,14.08.2019 08:52,I,26.07.2019
1474,687008,696102,734,23.07.2014 09:40,I,01.11.2012
1475,687207,696102,746,23.07.2014 09:40,I,01.11.2012
1476,677309,700505,784,14.08.2019 08:52,I,26.07.2019
1477,677309,696102,991,23.07.2014 09:40,I,01.11.2012
1478,680000,700505,1737,14.08.2019 08:52,I,26.07.2019
1479,680000,696102,814,24.07.2019 14:25,I,19.07.2019
1480,698606,700505,789,25.07.2019 14:02,I,25.07.2019
1481,663306,700505,2831,25.07.2019 09:29,I,25.07.2019
1482,663306,696102,2810,25.07.2019 09:29,I,25.07.2019
1483,663306,676700,1780,25.07.2019 09:29,I,25.07.2019
1484,673007,676700,398,25.07.2019 09:21,I,25.07.2019
1485,673007,696102,632,25.07.2019 09:12,I,25.07.2019
1486,673007,700505,1143,25.07.2019 09:12,I,25.07.2019
1487,690200,700505,1349,14.08.2019 08:52,I,26.07.2019
1488,690200,696102,426,23.07.2014 09:40,I,01.11.2012
1489,700007,700505,43,14.08.2019 08:52,I,26.07.2019
